mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,name,efficiency
18,8,307,130,3504,12,70,2,49,Bajo
15,8,350,165,3693,11,70,2,36,Bajo
18,8,318,150,3436,11,70,2,231,Bajo
16,8,304,150,3433,12,70,2,14,Bajo
17,8,302,140,3449,10,70,2,161,Bajo
15,8,429,198,4341,10,70,2,141,Bajo
14,8,454,220,4354,9,70,2,54,Bajo
14,8,440,215,4312,8,70,2,223,Bajo
14,8,455,225,4425,10,70,2,241,Bajo
15,8,390,190,3850,8,70,2,1,Bajo
15,8,383,170,3563,10,70,2,101,Bajo
14,8,340,160,3609,8,70,2,215,Bajo
15,8,400,150,3761,9,70,2,57,Bajo
14,8,455,225,3086,10,70,2,30,Bajo
24,4,113,95,2372,15,70,1,274,Medio
22,6,198,95,2833,15,70,2,220,Medio
18,6,199,97,2774,15,70,2,8,Bajo
21,6,200,85,2587,16,70,2,150,Medio
27,4,97,88,2130,14,70,1,95,Medio
26,4,97,46,1835,20,70,0,282,Medio
25,4,110,87,2672,17,70,0,211,Medio
24,4,107,90,2430,14,70,0,16,Medio
25,4,104,95,2375,17,70,0,258,Medio
26,4,121,113,2234,12,70,0,22,Medio
21,6,199,90,2648,15,70,2,7,Medio
10,8,360,215,4615,14,70,2,133,Bajo
10,8,307,200,4376,15,70,2,68,Bajo
11,8,318,210,4382,13,70,2,112,Bajo
9,8,304,193,4732,18,70,2,163,Bajo
27,4,97,88,2130,14,71,1,95,Medio
28,4,140,90,2264,15,71,2,65,Medio
25,4,113,95,2228,14,71,1,271,Medio
25,4,98,93,2046,19,71,2,156,Medio
19,6,232,100,2634,13,71,2,7,Bajo
16,6,225,105,3439,15,71,2,232,Bajo
17,6,250,100,3329,15,71,2,49,Bajo
19,6,250,88,3302,15,71,2,162,Bajo
18,6,232,100,3288,15,71,2,10,Bajo
14,8,350,165,4209,12,71,2,54,Bajo
14,8,400,175,4464,11,71,2,242,Bajo
14,8,351,153,4154,13,71,2,141,Bajo
14,8,318,150,4096,13,71,2,223,Bajo
12,8,383,180,4955,11,71,2,116,Bajo
13,8,400,170,4746,12,71,2,129,Bajo
13,8,400,175,5140,12,71,2,250,Bajo
18,6,258,110,2962,13,71,2,9,Bajo
22,4,140,72,2408,19,71,2,64,Medio
19,6,250,100,3282,15,71,2,243,Bajo
18,6,250,88,3139,14,71,2,151,Bajo
23,4,122,86,2220,14,71,2,187,Medio
28,4,116,90,2123,14,71,0,208,Medio
30,4,79,70,2074,19,71,0,210,Alto
30,4,88,76,2065,14,71,0,123,Alto
31,4,71,65,1773,19,71,1,267,Alto
35,4,72,69,1613,18,71,1,76,Alto
27,4,97,60,1834,19,71,0,286,Medio
26,4,91,70,1955,20,71,2,218,Medio
24,4,113,95,2278,15,72,1,272,Medio
25,4,97,80,2126,17,72,2,105,Medio
23,4,97,54,2254,23,72,0,293,Medio
20,4,140,90,2408,19,72,2,63,Medio
21,4,122,86,2226,16,72,2,158,Medio
13,8,350,165,4274,12,72,2,54,Bajo
14,8,400,175,4385,12,72,2,241,Bajo
15,8,318,150,4135,13,72,2,223,Bajo
14,8,351,153,4129,13,72,2,141,Bajo
17,8,304,150,3672,11,72,2,2,Bajo
11,8,429,208,4633,11,72,2,192,Bajo
13,8,350,155,4502,13,72,2,31,Bajo
12,8,350,160,4456,13,72,2,203,Bajo
13,8,400,190,4422,12,72,2,75,Bajo
19,3,70,97,2330,13,72,1,183,Bajo
15,8,304,150,3892,12,72,2,11,Bajo
13,8,307,130,4098,14,72,2,48,Bajo
13,8,302,140,4294,16,72,2,143,Bajo
14,8,318,150,4077,14,72,2,233,Bajo
18,4,121,112,2933,14,72,0,295,Bajo
22,4,121,76,2511,18,72,0,283,Medio
21,4,120,87,2979,19,72,0,212,Medio
26,4,96,69,2189,18,72,0,253,Medio
22,4,122,86,2395,16,72,2,157,Medio
28,4,97,92,2288,17,72,1,85,Medio
23,4,120,97,2506,14,72,1,279,Medio
28,4,98,80,2164,15,72,2,104,Medio
27,4,97,88,2100,16,72,1,268,Medio
13,8,350,175,4100,13,73,2,25,Bajo
14,8,304,150,3672,11,73,2,10,Bajo
13,8,350,145,3988,13,73,2,55,Bajo
14,8,302,137,4042,14,73,2,142,Bajo
15,8,318,150,3777,12,73,2,109,Bajo
12,8,429,198,4952,11,73,2,193,Bajo
13,8,400,150,4464,12,73,2,44,Bajo
13,8,351,158,4363,13,73,2,148,Bajo
14,8,318,150,4237,14,73,2,222,Bajo
13,8,440,215,4735,11,73,2,74,Bajo
12,8,455,225,4951,11,73,2,29,Bajo
13,8,360,175,3821,11,73,2,0,Bajo
18,6,225,105,3121,16,73,2,235,Bajo
16,6,250,100,3278,18,73,2,62,Bajo
18,6,232,100,2945,16,73,2,8,Bajo
18,6,250,88,3021,16,73,2,150,Bajo
23,6,198,95,2904,16,73,2,220,Medio
26,4,97,46,1950,21,73,0,292,Medio
11,8,400,150,4997,14,73,2,54,Bajo
12,8,400,167,4906,12,73,2,128,Bajo
13,8,360,170,4654,13,73,2,219,Bajo
12,8,350,180,4499,12,73,2,207,Bajo
18,6,232,100,2789,15,73,2,7,Bajo
20,4,97,88,2279,19,73,1,263,Medio
21,4,140,72,2401,19,73,2,63,Medio
22,4,108,94,2379,16,73,1,87,Medio
18,3,70,90,2124,13,73,1,174,Bajo
19,4,122,85,2310,18,73,2,156,Bajo
21,6,155,107,2472,14,73,2,188,Medio
26,4,98,90,2265,15,73,0,121,Medio
15,8,350,145,4082,13,73,2,59,Bajo
16,8,400,230,4278,9,73,2,244,Bajo
29,4,68,49,1867,19,73,0,124,Medio
24,4,116,75,2158,15,73,0,209,Medio
20,4,114,91,2582,14,73,0,17,Medio
19,4,121,112,2868,15,73,0,294,Bajo
15,8,318,150,3399,11,73,2,113,Bajo
24,4,121,110,2660,14,73,0,260,Medio
20,6,156,122,2807,13,73,1,276,Medio
11,8,350,180,3664,11,73,2,204,Bajo
20,6,198,95,3102,16,74,2,220,Medio
21,6,200,93,2875,17,74,2,150,Medio
19,6,232,100,2901,16,74,2,8,Bajo
15,6,250,100,3336,17,74,2,61,Bajo
31,4,79,67,1950,19,74,1,92,Alto
26,4,122,80,2451,16,74,2,156,Medio
32,4,71,65,1836,21,74,1,267,Alto
25,4,140,75,2542,17,74,2,63,Medio
16,6,250,100,3781,17,74,2,50,Bajo
16,6,258,110,3632,18,74,2,10,Bajo
18,6,225,105,3613,16,74,2,234,Bajo
