iter	Passed	Remaining
0	149	149549
1	150	75096
2	151	50252
3	151	37815
4	152	30339
5	153	25360
6	153	21802
7	154	19150
8	155	17074
9	155	15421
10	156	14067
11	157	12942
12	157	11987
13	158	11170
14	159	10458
15	159	9834
16	160	9287
17	161	8797
18	161	8360
19	162	7968
20	163	7606
21	163	7286
22	164	6991
23	165	6721
24	165	6469
25	166	6239
26	167	6025
27	167	5828
28	168	5645
29	169	5475
30	169	5308
31	170	5155
32	171	5013
33	171	4880
34	172	4754
35	173	4635
36	173	4523
37	174	4416
38	175	4314
39	175	4219
40	176	4128
41	177	4043
42	177	3960
43	178	3881
44	179	3805
45	179	3731
46	180	3661
47	181	3593
48	181	3529
49	182	3467
50	183	3407
51	183	3351
52	184	3295
53	185	3242
54	185	3191
55	186	3142
56	187	3095
57	187	3049
58	188	3004
59	188	2960
60	189	2920
61	190	2880
62	190	2839
63	191	2801
64	192	2765
65	192	2729
66	193	2695
67	194	2661
68	194	2629
69	195	2597
70	196	2566
71	196	2536
72	197	2507
73	198	2478
74	198	2450
75	199	2423
76	200	2397
77	200	2372
78	201	2347
79	202	2323
80	202	2299
81	203	2277
82	204	2256
83	204	2235
84	205	2214
85	206	2193
86	207	2173
87	207	2152
88	208	2133
89	209	2114
90	209	2095
91	210	2077
92	211	2060
93	211	2043
94	212	2026
95	213	2010
96	214	1994
97	214	1978
98	215	1962
99	216	1947
100	216	1931
101	217	1917
102	218	1902
103	219	1888
104	219	1874
105	220	1861
106	221	1847
107	222	1833
108	222	1820
109	223	1807
110	224	1794
111	224	1781
112	225	1768
113	225	1756
114	226	1743
115	227	1732
116	227	1720
117	228	1709
118	229	1697
119	229	1686
120	230	1674
121	231	1663
122	231	1653
123	232	1643
124	233	1633
125	233	1623
126	234	1613
127	235	1603
128	236	1594
129	236	1584
130	237	1575
131	238	1566
132	238	1557
133	239	1547
134	240	1538
135	240	1529
136	241	1521
137	242	1512
138	242	1504
139	243	1496
140	244	1488
141	244	1480
142	245	1472
143	246	1463
144	246	1455
145	247	1446
146	247	1438
147	248	1430
148	248	1422
149	249	1414
150	250	1406
151	250	1398
152	251	1390
153	251	1382
154	252	1374
155	252	1367
156	253	1359
157	253	1352
158	254	1344
159	254	1337
160	255	1329
161	255	1322
162	256	1315
163	256	1308
164	257	1302
165	257	1295
166	258	1288
167	258	1281
168	259	1275
169	259	1269
170	260	1262
171	260	1256
172	261	1250
173	262	1243
174	262	1237
175	263	1231
176	263	1225
177	264	1219
178	264	1213
179	265	1208
180	265	1202
181	266	1197
182	266	1191
183	267	1185
184	267	1180
185	268	1175
186	269	1169
187	269	1164
188	270	1159
189	270	1153
190	271	1148
191	271	1143
192	272	1138
193	272	1133
194	273	1128
195	273	1123
196	274	1119
197	275	1114
198	275	1109
199	276	1105
200	276	1100
201	277	1096
202	278	1091
203	278	1087
204	279	1082
205	279	1078
206	280	1073
207	280	1069
208	281	1065
209	282	1060
210	282	1056
211	283	1052
212	283	1048
213	284	1044
214	284	1039
215	285	1035
216	285	1031
217	286	1027
218	287	1023
219	287	1019
220	288	1016
221	288	1012
222	289	1008
223	290	1004
224	290	1001
225	291	997
226	291	993
227	292	990
228	293	986
229	293	983
230	294	979
231	294	975
232	295	971
233	295	968
234	296	964
235	296	961
236	297	957
237	298	954
238	298	950
239	299	947
240	299	944
241	300	940
242	300	937
243	301	934
244	302	931
245	302	927
246	303	924
247	303	921
248	304	918
249	304	914
250	305	911
251	306	908
252	306	905
253	307	902
254	307	899
255	308	896
256	308	893
257	309	890
258	310	887
259	310	884
260	311	881
261	311	878
262	312	875
263	312	872
264	313	869
265	314	866
266	314	863
267	315	861
268	315	858
269	316	855
270	317	853
271	317	850
272	318	847
273	318	844
274	319	842
275	320	839
276	320	836
277	321	834
278	321	831
279	322	828
280	322	826
281	323	823
282	324	821
283	324	818
284	325	815
285	325	813
286	326	810
287	326	808
288	327	805
289	328	803
290	328	800
291	329	798
292	329	795
293	330	793
294	330	790
295	331	788
296	332	786
297	332	783
298	333	781
299	333	778
300	334	776
301	334	774
302	335	771
303	336	769
304	336	767
305	337	764
306	337	762
307	338	760
308	338	757
309	339	755
