iter	Passed	Remaining
0	16	8359
1	34	8638
2	52	8763
3	71	8806
4	88	8736
5	105	8699
6	122	8623
7	138	8542
8	157	8575
9	174	8555
10	192	8541
11	209	8515
12	227	8509
13	243	8453
14	260	8437
15	277	8399
16	294	8370
17	312	8374
18	330	8355
19	347	8344
20	365	8332
21	382	8306
22	400	8302
23	419	8324
24	439	8349
25	457	8338
26	476	8344
27	493	8317
28	510	8296
29	527	8270
30	544	8245
31	561	8215
32	579	8198
33	596	8177
34	613	8148
35	630	8126
36	647	8100
37	665	8086
38	682	8063
39	698	8034
40	715	8007
41	732	7990
42	749	7968
43	767	7957
44	786	7948
45	804	7939
46	822	7927
47	839	7906
48	857	7888
49	875	7880
50	893	7862
51	912	7859
52	928	7832
53	948	7832
54	966	7818
55	986	7820
56	1004	7807
57	1022	7795
58	1041	7781
59	1058	7765
60	1076	7746
61	1094	7731
62	1111	7708
63	1128	7687
64	1145	7664
65	1162	7645
66	1181	7632
67	1199	7623
68	1220	7623
69	1243	7640
70	1265	7647
71	1288	7660
72	1308	7652
73	1331	7665
74	1352	7665
75	1372	7656
76	1389	7635
77	1410	7630
78	1431	7628
79	1450	7613
80	1470	7608
81	1493	7610
82	1512	7596
83	1530	7578
84	1549	7565
85	1566	7543
86	1584	7520
87	1602	7503
88	1620	7482
89	1638	7462
90	1660	7463
91	1683	7466
92	1703	7454
93	1722	7440
94	1746	7444
95	1764	7426
96	1784	7413
97	1803	7397
98	1822	7382
99	1841	7364
100	1858	7342
101	1876	7320
102	1893	7299
103	1911	7280
104	1931	7264
105	1952	7256
106	1971	7239
107	1998	7253
108	2018	7240
109	2038	7227
110	2059	7216
111	2079	7205
112	2100	7194
113	2119	7177
114	2138	7159
115	2155	7133
116	2167	7096
117	2184	7072
118	2201	7049
119	2219	7027
120	2236	7004
121	2252	6980
122	2271	6962
123	2288	6939
124	2303	6910
125	2321	6891
126	2339	6869
127	2356	6847
128	2375	6832
129	2394	6813
130	2414	6800
131	2433	6783
132	2450	6763
133	2468	6742
134	2487	6724
135	2505	6706
136	2524	6688
137	2543	6671
138	2562	6655
139	2580	6635
140	2598	6617
141	2617	6599
142	2635	6580
143	2653	6559
144	2667	6530
145	2684	6510
146	2702	6489
147	2721	6471
148	2740	6455
149	2757	6433
150	2775	6413
151	2791	6390
152	2808	6368
153	2826	6349
154	2844	6330
155	2861	6311
156	2879	6291
157	2893	6262
158	2910	6241
159	2927	6221
160	2944	6200
161	2961	6178
162	2979	6160
163	2998	6143
164	3017	6127
165	3035	6107
166	3052	6087
167	3070	6067
168	3088	6050
169	3107	6031
170	3124	6010
171	3141	5991
172	3158	5969
173	3176	5950
174	3193	5930
175	3209	5908
176	3226	5888
177	3245	5871
178	3265	5856
179	3283	5837
180	3303	5822
181	3320	5802
182	3338	5782
183	3357	5766
184	3375	5748
185	3390	5723
186	3410	5708
187	3431	5694
188	3450	5677
189	3474	5668
190	3496	5656
191	3517	5643
192	3541	5633
193	3559	5614
194	3580	5600
195	3597	5579
196	3616	5561
197	3634	5543
198	3651	5523
199	3669	5504
200	3683	5478
201	3699	5458
202	3718	5440
203	3735	5420
204	3754	5402
205	3772	5384
206	3792	5368
207	3810	5349
208	3835	5340
209	3858	5327
210	3879	5313
211	3901	5300
212	3922	5285
213	3941	5267
214	3960	5250
215	3982	5235
216	4002	5219
217	4024	5206
218	4045	5191
219	4066	5175
220	4087	5159
221	4108	5144
222	4130	5131
223	4157	5122
224	4178	5107
225	4201	5094
226	4223	5079
227	4246	5066
228	4268	5051
229	4290	5036
230	4312	5022
231	4334	5007
232	4354	4989
233	4374	4972
234	4395	4956
235	4416	4940
236	4436	4922
237	4456	4905
238	4475	4887
239	4494	4868
240	4512	4849
241	4532	4831
242	4551	4814
243	4573	4798
244	4593	4781
245	4613	4763
246	4631	4744
247	4650	4725
248	4668	4705
249	4688	4688
250	4707	4669
251	4726	4651
252	4748	4636
253	4766	4616
254	4785	4598
255	4805	4579
256	4823	4560
257	4843	4543
258	4863	4525
259	4883	4507
260	4902	4488
261	4921	4470
262	4939	4451
263	4960	4434
264	4985	4420
265	5006	4404
266	5025	4385
267	5043	4365
268	5060	4345
269	5077	4324
270	5095	4305
271	5113	4286
272	5133	4268
273	5153	4250
274	5174	4233
275	5197	4218
276	5216	4199
277	5236	4181
278	5256	4163
279	5277	4146
280	5297	4128
281	5318	4111
282	5336	4091
283	5355	4073
284	5375	4055
285	5397	4038
286	5415	4019
287	5434	4000
288	5453	3981
289	5471	3962
290	5488	3942
291	5506	3922
292	5523	3902
293	5540	3882
294	5558	3862
295	5576	3843
296	5594	3823
297	5611	3804
298	5629	3784
299	5645	3763
300	5662	3743
301	5679	3723
302	5697	3704
303	5716	3685
304	5735	3667
305	5756	3649
306	5776	3631
